Date,,A,B,C
2017/6/15,C,9.066313880094728e-05,0.0001082012667114141,8.013620376747901e-05
2017/6/16,A,0.00012803475639034322,0.0001508222975199378,0.00012118962490173063
2017/6/16,B,0.0001508222975199378,0.00018203159201582447,0.00014471832226816873
2017/6/16,C,0.00012118962490173063,0.00014471832226816873,0.0001275062245074087
2017/6/19,A,0.00014001547203547744,0.0001662492431972283,0.00012872950405478205
2017/6/19,B,0.0001662492431972283,0.00020061494563290073,0.0001539801730346808
2017/6/19,C,0.00012872950405478205,0.0001539801730346808,0.00013209546512797088
2017/6/20,A,0.000134309142115007,0.0001613660687158011,0.00012702571216832012
2017/6/20,B,0.0001613660687158011,0.00019740045585403182,0.00015396416375264657
2017/6/20,C,0.00012702571216832012,0.00015396416375264657,0.00013374317274525725
2017/6/21,A,0.0001307173330616059,0.00015757683381836856,0.00012421771415994863
2017/6/21,B,0.00015757683381836856,0.00019342814438444908,0.0001508678303566513
2017/6/21,C,0.00012421771415994863,0.0001508678303566513,0.00013226037215793347
2017/6/22,A,0.00012667641876565179,0.0001534410054120755,0.00012042863717649438
2017/6/22,B,0.0001534410054120755,0.00018935165999459544,0.0001471979801301421
2017/6/22,C,0.00012042863717649438,0.0001471979801301421,0.00012898450705597594
2017/6/23,A,0.00012472375790213263,0.00015098220401612452,0.00012048614054095725
2017/6/23,B,0.00015098220401612452,0.00018715529690005607,0.0001483703461310588
2017/6/23,C,0.00012048614054095725,0.0001483703461310588,0.00013032749283563747
2017/6/26,A,0.00011333172481270713,0.0001377413557873009,0.00011073975579363731
2017/6/26,B,0.0001377413557873009,0.00017186326170895365,0.00013665094719356448
2017/6/26,C,0.00011073975579363731,0.00013665094719356448,0.00012355644536277664
2017/6/27,A,0.00012065597010566038,0.00014732156603007983,0.00012172188041607253
2017/6/27,B,0.00014732156603007983,0.0001843939906372188,0.0001510413991977066
2017/6/27,C,0.00012172188041607253,0.0001510413991977066,0.0001379183754568944
2017/6/28,A,0.00012198959078861624,0.00014872498653392756,0.00012236924875962867
2017/6/28,B,0.00014872498653392756,0.00018461852261188668,0.00015126733172601256
2017/6/28,C,0.00012236924875962867,0.00015126733172601256,0.00013806708046367085
2017/6/29,A,0.00013026886730045168,0.0001603684365376352,0.0001300153866658046
2017/6/29,B,0.0001603684365376352,0.00020038383265289522,0.00016207264244018173
2017/6/29,C,0.0001300153866658046,0.00016207264244018173,0.00014512401405933424
2017/6/30,A,0.0001300008001990584,0.00016013847652385858,0.000130272707498186
2017/6/30,B,0.00016013847652385858,0.00020090196984323956,0.00016281717386639158
2017/6/30,C,0.000130272707498186,0.00016281717386639158,0.00014526050497941766
2017/7/3,A,0.00012916091364223198,0.0001593120459058342,0.0001295086132932441
2017/7/3,B,0.0001593120459058342,0.00020040130523626504,0.00016203337216514634
2017/7/3,C,0.0001295086132932441,0.00016203337216514634,0.00014456862966246323
2017/7/5,A,0.00010797285384584889,0.00013129944835695598,0.00010779823909496147
2017/7/5,B,0.00013129944835695598,0.0001637515985335186,0.00013332944744238068
2017/7/5,C,0.00010779823909496147,0.00013332944744238068,0.00012232306687661904
2017/7/6,A,9.311569176681255e-05,0.00011250673495450467,9.441357527336946e-05
2017/7/6,B,0.00011250673495450467,0.00014004633933396374,0.00011650758155558956
2017/7/6,C,9.441357527336946e-05,0.00011650758155558956,0.00011044400344695157
2017/7/7,A,9.200198315366045e-05,0.00011216417148486215,9.248847585843203e-05
2017/7/7,B,0.00011216417148486215,0.00014089543930138497,0.00011493443603405021
2017/7/7,C,9.248847585843203e-05,0.00011493443603405021,0.00010812466104167124
2017/7/10,A,8.692768609452575e-05,0.00010653151654140645,8.975568674772672e-05
2017/7/10,B,0.00010653151654140645,0.000135554036891641,0.00011195585898129149
2017/7/10,C,8.975568674772672e-05,0.00011195585898129149,0.00010665621375603585
2017/7/11,A,8.843374964478212e-05,0.00010919843822654795,9.224185036839092e-05
2017/7/11,B,0.00010919843822654795,0.00013978677753089615,0.00011579841611970866
2017/7/11,C,9.224185036839092e-05,0.00011579841611970866,0.00011012024995378277
2017/7/12,A,8.842297800251235e-05,0.00010956592158112546,9.178212839645376e-05
2017/7/12,B,0.00010956592158112546,0.00014068268228040838,0.0001154660972766282
2017/7/12,C,9.178212839645376e-05,0.0001154660972766282,0.00010959589805128641
2017/7/13,A,9.410300270319333e-05,0.00011861693700114921,9.998921127016898e-05
2017/7/13,B,0.00011861693700114921,0.00015509281906479956,0.00012861975544615164
2017/7/13,C,9.998921127016898e-05,0.00012861975544615164,0.00012099407457498336
2017/7/14,A,9.361815035157312e-05,0.00011944991187065494,0.00010020831756596301
2017/7/14,B,0.00011944991187065494,0.00015863682199182457,0.00013040259210728194
2017/7/14,C,0.00010020831756596301,0.00013040259210728194,0.00012183221721851722
2017/7/17,A,8.460746431991989e-05,0.00010804395138723625,8.302535971195057e-05
2017/7/17,B,0.00010804395138723625,0.00014428825671673176,0.0001090496478267656
2017/7/17,C,8.302535971195057e-05,0.0001090496478267656,9.083430008242913e-05
2017/7/18,A,8.278284956107936e-05,0.00010610932435942689,8.89246782797953e-05
2017/7/18,B,0.00010610932435942689,0.00014235900668448814,0.00011723198080681001
2017/7/18,C,8.89246782797953e-05,0.00011723198080681001,0.00010220251599600375
2017/7/19,A,7.921470830462049e-05,0.0001011905335798653,8.432911676112048e-05
2017/7/19,B,0.0001011905335798653,0.00013665175930750652,0.00011158517024022286
2017/7/19,C,8.432911676112048e-05,0.00011158517024022286,9.67250475822164e-05
2017/7/20,A,9.251788198107594e-05,0.00012174854944608807,0.00010461074621270178
2017/7/20,B,0.00012174854944608807,0.00016833910084602886,0.00014238232572566967
2017/7/20,C,0.00010461074621270178,0.00014238232572566967,0.00012402015260239412
2017/7/21,A,9.86344025509987e-05,0.0001279882387931484,0.00011155455303429812
2017/7/21,B,0.0001279882387931484,0.00017432923175221998,0.00014948381775533275
2017/7/21,C,0.00011155455303429812,0.00014948381775533275,0.00013190228988590314
2017/7/24,A,0.00010774960484641025,0.00013645985782550046,0.00012146075696083415
2017/7/24,B,0.00013645985782550046,0.00018036725619229146,0.000158082193548323
2017/7/24,C,0.00012146075696083415,0.000158082193548323,0.00014246647271225202
2017/7/25,A,0.0001203653347029517,0.00015164842118501554,0.00013209179813629092
