Day,A,B,C
340,0.01984024893288456,0.020276194098113168,0.019453468246790083
341,0.0005896281245098547,0.0005959356582887453,-0.0008432793178555048
342,-0.0023759787243816,-0.002088420561664273,-0.003104997288035331
343,-0.009032444077742355,-0.007272567914234078,-0.00895385853627552
344,0.0007472761604907646,0.00368311257662674,0.0035880562558139226
345,0.002778307643027092,0.0066005678246582634,0.009222850452817555
346,0.0017115063273869515,-0.0008678587346927624,0.0015214580681571163
347,0.008306719723496982,0.014433679436494975,0.013749946350345234
348,0.013642337753117495,0.012005499974310286,0.008949889221172047
349,0.010747373232848037,0.011202137233301811,0.007180369184077409
350,-0.0033411857185542447,-0.0026472049255811137,2.3875691458857644e-05
351,-0.011862228109996445,-0.01470867256398052,-0.011867849732774202
352,0.02358466963970763,0.025120235686541512,0.019547191103796564
353,-0.0023963636961575373,-0.005473605095609059,-0.0015383978228045532
354,-0.0019263785954445256,-0.00720766437193808,-0.006391590337436771
355,-0.00026802595569653566,0.0013606203698727365,-0.0015607848533750763
356,-0.016988635338051058,-0.016400093707880224,-0.010244968498636962
357,0.00027860925986291155,1.685897880331587e-05,0.0002687458892929086
358,0.0002573358595079102,-0.0009572110825823395,-0.004045143593057663
359,0.014171536072943799,0.01234994938228929,0.006360642056609222
360,0.015159417077164852,0.021079098536883258,0.017164997672948667
361,0.006372253713602688,0.014639462749160007,0.019103108554482492
362,0.018111608504840313,0.01604987587051895,0.011597692877367127
363,0.010624810014393702,0.009386901793858907,0.006446130122802192
364,0.006126190555596654,0.005202366770272779,0.008980481033650647
365,0.00836015352634191,0.00824765431258844,0.006416984391625564
366,0.0039129581859947,0.005414480842462124,-0.0002488697291735814
367,0.0013300601309114753,0.006700777438394954,0.000387002864830799
368,0.002937964189946132,0.006715021696279503,0.009251069437865122
369,-0.007943784815360809,-0.007864132361322447,-0.00418410780634846
370,0.009871893479141745,0.009557008606570931,0.010258045757519483
371,-0.006237575114176706,-0.01102566548807353,-0.009003174664748039
372,0.016970442298254097,0.01784490600659868,0.011977859600137841
373,0.003169126139615593,0.008698368429987016,0.00627196467452252
374,0.006950622819386862,0.008145497920398872,0.006946566816107598
375,0.012571151341948111,0.013672361307627095,0.008286916406165738
376,0.014461911165663432,0.01677320675809864,0.015194025912756
377,-0.013542433950299557,-0.013643248966228918,-0.014897791998412173
378,0.0037074078285765965,0.00029729419730378185,-0.0008144402495984338
379,0.017458035762834223,0.025423867787378582,0.019693964692271942
380,-0.015154973069233392,-0.01769114631139202,-0.016338113567051813
381,0.011223308902581552,0.012783830953621334,0.003252644449336154
382,-0.022206326174517038,-0.025247189037026746,-0.01878146299613527
383,-0.0066092468756558465,-0.007240464065382055,-0.008182264998701165
384,0.006813197444673572,0.0070873921686123685,0.009862170398568765
385,-0.014631417309008382,-0.018356842083493367,-0.01576691658368847
386,-0.00614127903820184,-0.01011711946755341,-0.009805624906656724
387,-0.012292848533886683,-0.012675728432880498,-0.009851164938590437
388,0.027171996428589126,0.03092408357545816,0.028070535843793987
389,0.008401890369765522,0.007058313797113161,0.003864999571044269
390,0.013500272810273595,0.01672483388465243,0.016588749451012907
391,0.003507913336997473,0.008412609790030775,0.011284727859873826
392,0.0018539580263802228,0.0020718705078880987,0.004789172106802936
393,-0.014122405539703106,-0.018869871667622367,-0.00995266936433873
394,0.00263307222985667,0.004436918039548507,0.007637240066392081
395,-0.003307643918879658,0.002155249851369693,0.006514678316858236
396,0.017176529959991332,0.016020507531592638,0.017889731304782355
397,0.020758479083967486,0.026118806238228494,0.021553018615893375
398,0.02487547175689139,0.030499106961639683,0.023041960420484228
399,0.01710857912950267,0.02420338735392861,0.012208867373553298
400,-0.0012478845632768769,0.0016360684672672423,-0.002873994620414811
401,-0.007790549118670374,-0.009939084995630393,-0.009368862677721922
402,0.01602216272909623,0.013899683989917217,0.009912594853450505
